"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","681","Invalid Case: Delete a book with an invalid ID format","","Fri Jan 03 10:06:26 IST 2025","failed","Fri Jan 03 10:06:26 IST 2025","","API_Delete Books","API_Delete Books","Invalid Case: Delete a book with an invalid ID format"
"","2118","Validate Total Price","","Fri Jan 03 10:07:24 IST 2025","passed","Fri Jan 03 10:07:26 IST 2025","","UI_Checkout Process 2 Testing","UI_Checkout Process 2 Testing","Validate Total Price"
"","669","Authorization Case: Delete a book without authorization headers","","Fri Jan 03 10:06:27 IST 2025","failed","Fri Jan 03 10:06:27 IST 2025","","API_Delete Books","API_Delete Books","Authorization Case: Delete a book without authorization headers"
"","1111","Verify Product Sorting (A to Z)","","Fri Jan 03 10:08:00 IST 2025","passed","Fri Jan 03 10:08:01 IST 2025","","UI_Product Listing Page Testing","UI_Product Listing Page Testing","Verify Product Sorting (A to Z)"
"","607","Forbidden Case: Update with insufficient permissions","","Fri Jan 03 10:06:46 IST 2025","passed","Fri Jan 03 10:06:47 IST 2025","","API_Update Book","API_Update Book","Forbidden Case: Update with insufficient permissions"
"","865","Invalid Case: Send an empty request body","","Fri Jan 03 10:06:19 IST 2025","failed","Fri Jan 03 10:06:20 IST 2025","","API_Create Books","API_Create Books","Invalid Case: Send an empty request body"
"","185","Invalid Case: Pass a non-existent ID","","Fri Jan 03 10:06:40 IST 2025","passed","Fri Jan 03 10:06:40 IST 2025","","API_Get Books By ID","API_Get Books By ID","Invalid Case: Pass a non-existent ID"
"","1845","Verify Mandatory Fields in Checkout Info Page: Last Name","","Fri Jan 03 10:07:08 IST 2025","passed","Fri Jan 03 10:07:10 IST 2025","","UI_Checkout Process 1 Testing","UI_Checkout Process 1 Testing","Verify Mandatory Fields in Checkout Info Page: Last Name"
"","598","Invalid Case: Missing mandatory fields","","Fri Jan 03 10:06:21 IST 2025","failed","Fri Jan 03 10:06:22 IST 2025","","API_Create Books","API_Create Books","Invalid Case: Missing mandatory fields"
"","658","Invalid Case: Delete a book with a non-existent ID","","Fri Jan 03 10:06:28 IST 2025","failed","Fri Jan 03 10:06:28 IST 2025","","API_Delete Books","API_Delete Books","Invalid Case: Delete a book with a non-existent ID"
"","474","Forbidden Case: Delete a book with insufficient permissions","","Fri Jan 03 10:06:27 IST 2025","broken","Fri Jan 03 10:06:28 IST 2025","","API_Delete Books","API_Delete Books","Forbidden Case: Delete a book with insufficient permissions"
"","1378","Navigate to Product from Cart","","Fri Jan 03 10:08:16 IST 2025","passed","Fri Jan 03 10:08:18 IST 2025","","UI_Shopping Cart Testing","UI_Shopping Cart Testing","Navigate to Product from Cart"
"","1435","Add Multiple Products to Cart","","Fri Jan 03 10:08:13 IST 2025","passed","Fri Jan 03 10:08:14 IST 2025","","UI_Shopping Cart Testing","UI_Shopping Cart Testing","Add Multiple Products to Cart"
"","310","Edge Case: Pass an invalid ID format","","Fri Jan 03 10:06:41 IST 2025","passed","Fri Jan 03 10:06:41 IST 2025","","API_Get Books By ID","API_Get Books By ID","Edge Case: Pass an invalid ID format"
"","1831","Verify Mandatory Fields in Checkout Info Page: First Name","","Fri Jan 03 10:07:05 IST 2025","passed","Fri Jan 03 10:07:07 IST 2025","","UI_Checkout Process 1 Testing","UI_Checkout Process 1 Testing","Verify Mandatory Fields in Checkout Info Page: First Name"
"","552","Edge Case: When no books exist","","Fri Jan 03 10:06:36 IST 2025","passed","Fri Jan 03 10:06:36 IST 2025","","API_Get All Books","API_Get All Books","Edge Case: When no books exist"
"","211","Valid Case: Update a book with valid parameters","","Fri Jan 03 10:06:26 IST 2025","passed","Fri Jan 03 10:06:26 IST 2025","","API_Delete Books","API_Delete Books","Valid Case: Update a book with valid parameters"
"","718","Authorization Case: Update without authorization headers","","Fri Jan 03 10:06:48 IST 2025","failed","Fri Jan 03 10:06:48 IST 2025","","API_Update Book","API_Update Book","Authorization Case: Update without authorization headers"
"","199","Valid Case: Update a book with valid parameters","","Fri Jan 03 10:06:45 IST 2025","passed","Fri Jan 03 10:06:45 IST 2025","","API_Update Book","API_Update Book","Valid Case: Update a book with valid parameters"
"","399","Valid Case: Get book details for a valid ID","","Fri Jan 03 10:06:40 IST 2025","passed","Fri Jan 03 10:06:41 IST 2025","","API_Get Books By ID","API_Get Books By ID","Valid Case: Get book details for a valid ID"
"","1059","Add Single Product to Cart","","Fri Jan 03 10:08:14 IST 2025","passed","Fri Jan 03 10:08:15 IST 2025","","UI_Shopping Cart Testing","UI_Shopping Cart Testing","Add Single Product to Cart"
"","2340","Complete Order Placement","","Fri Jan 03 10:07:28 IST 2025","passed","Fri Jan 03 10:07:30 IST 2025","","UI_Checkout Process 2 Testing","UI_Checkout Process 2 Testing","Complete Order Placement"
"","998","Add to Cart from Details Page","","Fri Jan 03 10:07:43 IST 2025","passed","Fri Jan 03 10:07:44 IST 2025","","UI_Product Details Page Testing","UI_Product Details Page Testing","Add to Cart from Details Page"
"","1829","Verify Mandatory Fields in Checkout Info Page: Postal Code","","Fri Jan 03 10:07:03 IST 2025","passed","Fri Jan 03 10:07:05 IST 2025","","UI_Checkout Process 1 Testing","UI_Checkout Process 1 Testing","Verify Mandatory Fields in Checkout Info Page: Postal Code"
"","7091","Remove Product from Cart","","Fri Jan 03 10:08:06 IST 2025","passed","Fri Jan 03 10:08:13 IST 2025","","UI_Shopping Cart Testing","UI_Shopping Cart Testing","Remove Product from Cart"
"","1239","Validate Product Image Display","","Fri Jan 03 10:07:59 IST 2025","passed","Fri Jan 03 10:08:00 IST 2025","","UI_Product Listing Page Testing","UI_Product Listing Page Testing","Validate Product Image Display"
"","6748","Remove from Cart in Details Page","","Fri Jan 03 10:07:34 IST 2025","passed","Fri Jan 03 10:07:41 IST 2025","","UI_Product Details Page Testing","UI_Product Details Page Testing","Remove from Cart in Details Page"
"","360","Duplicate ID Case: Attempt to create a book with an existing ID","","Fri Jan 03 10:06:21 IST 2025","passed","Fri Jan 03 10:06:21 IST 2025","","API_Create Books","API_Create Books","Duplicate ID Case: Attempt to create a book with an existing ID"
"","10212","Verify Item Summary in Checkout Overview","","Fri Jan 03 10:07:13 IST 2025","passed","Fri Jan 03 10:07:24 IST 2025","","UI_Checkout Process 2 Testing","UI_Checkout Process 2 Testing","Verify Item Summary in Checkout Overview"
"","1188","Verify Product Sorting (Z to A)","","Fri Jan 03 10:07:56 IST 2025","passed","Fri Jan 03 10:07:57 IST 2025","","UI_Product Listing Page Testing","UI_Product Listing Page Testing","Verify Product Sorting (Z to A)"
"","2156","Cancel Order Before Completion","","Fri Jan 03 10:07:26 IST 2025","passed","Fri Jan 03 10:07:28 IST 2025","","UI_Checkout Process 2 Testing","UI_Checkout Process 2 Testing","Cancel Order Before Completion"
